index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
11,Valencia,Favara ,Patraix,354.0,4,4,None,375.0,39.4553614,-0.3937541
6,Valencia,Russafa ,L'Eixample,97.0,2,1,None,450.0,39.4615201,-0.3725595
4,Valencia,Gran Via ,L'Eixample,116.0,3,3,None,490.0,39.4650722,-0.3659044
3,Valencia,La Malva-rosa ,Poblats Marítims,170.0,2,2,None,250.0,39.4802716,-0.3284819
2,Valencia,Sant Pau ,Campanar,120.0,2,2,None,412.0,39.4877123,-0.4051598
0,Valencia,El Cabanyal-El Canyamelar ,Poblats Marítims,118.0,3,2,None,335.0,39.4701544,-0.3323547
25,Campanar,Campanar ,Campanar,125.0,4,2,None,425.0,39.4830398,-0.4006583
22,Valencia,El Pilar ,Ciutat Vella,119.0,2,1,None,235.0,39.4739726,-0.382343
21,Valencia,El Pilar ,Ciutat Vella,142.0,3,2,None,365.0,39.4739726,-0.382343
17,Valencia,Arrancapins ,Extramurs,105.0,3,2,None,250.0,39.4665067,-0.3855
16,Valencia,Gran Via ,L'Eixample,136.0,4,2,None,400.0,39.4650722,-0.3659044
15,Valencia,El Pla del Remei ,L'Eixample,111.0,3,2,None,348.0,39.4680141,-0.3705643
11,Valencia,Russafa ,L'Eixample,87.0,2,2,None,260.0,39.4615201,-0.3725595
22,Valencia,La Xerea ,Ciutat Vella,232.0,4,2,None,430.0,39.4746544,-0.3721794
19,Valencia,El Cabanyal-El Canyamelar ,Poblats Marítims,191.0,6,3,None,525.0,39.4701544,-0.3323547
4,Valencia,Sant Pau ,Campanar,135.0,3,2,None,375.0,39.4877123,-0.4051598
2,Valencia,La Xerea ,Ciutat Vella,62.0,1,1,None,215.0,39.4746544,-0.3721794
24,Campanar,Campanar ,Campanar,122.0,3,2,None,330.0,39.4830398,-0.4006583
10,Valencia,Sant Pau ,Campanar,96.0,2,2,None,270.0,39.4877123,-0.4051598
1,Campanar,Campanar ,Campanar,110.0,4,2,None,220.0,39.4830398,-0.4006583
13,Valencia,Sant Pau ,Campanar,166.0,4,2,None,390.0,39.4877123,-0.4051598
11,Campanar,Campanar ,Campanar,164.0,4,3,None,290.0,39.4830398,-0.4006583
29,Valencia,Ciutat Jardí ,Algirós,188.0,4,3,None,330.0,39.4712439,-0.3460483
26,Valencia,Gran Via ,L'Eixample,200.0,5,2,None,500.0,39.4650722,-0.3659044
7,Valencia,Arrancapins ,Extramurs,136.0,4,2,None,280.0,39.4665067,-0.3855
3,Campanar,Campanar ,Campanar,122.0,3,2,None,330.0,39.4830398,-0.4006583
28,Valencia,Russafa ,L'Eixample,125.0,3,2,None,325.0,39.4615201,-0.3725595
16,Benicalap,Benicalap ,Benicalap,91.0,2,2,None,224.89,39.4910435,-0.3895204
9,Valencia,Russafa ,L'Eixample,189.0,5,2,None,395.0,39.4615201,-0.3725595
8,Valencia,Campanar ,Campanar,128.0,4,2,None,427.0,39.4830398,-0.4006583
26,Valencia,Tormos ,La Saïdia,145.0,3,2,None,255.0,39.4903474,-0.3779152
15,Valencia,Sant Llorenç ,Rascanya,103.0,2,2,None,346.8,39.4927325,-0.3638872
10,Campanar,Campanar ,Campanar,110.0,4,2,None,220.0,39.4830398,-0.4006583
7,Valencia,Arrancapins ,Extramurs,241.0,3,3,None,516.104,39.4665067,-0.3855
2,Patraix,Patraix ,Patraix,115.0,3,2,None,260.0,39.4600547,-0.3932433
27,Campanar,Campanar ,Campanar,164.0,4,3,None,290.0,39.4830398,-0.4006583
15,Benicalap,Benicalap ,Benicalap,128.0,4,2,None,240.0,39.4910435,-0.3895204
28,Algirós,L'Amistat ,Algirós,101.0,3,1,None,210.0,39.474305,-0.3522144
