index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
2,Els Orriols,Orriols ,Rascanya,79.0,3,1,None,69.0,None,None
3,Carrer de Pedro Cabanes,Sant Antoni ,La Saïdia,68.0,3,1,None,63.5,None,None
4,calle de Escalante,El Cabanyal-El Canyamelar ,Poblats Marítims,42.0,1,1,None,100.0,None,None
7,Carrer Illes Canàries,La Creu del Grau ,Camins al Grau,90.0,4,2,None,119.0,None,None
13,calle de Dolores Alcayde,La Raiosa ,Jesús,106.0,4,1,None,110.0,None,None
16,Els Orriols,Orriols ,Rascanya,97.0,3,1,None,132.0,None,None
17,calle calle D Orde del Cister,Soternes ,L'Olivereta,80.0,3,2,None,128.0,None,None
19,calle del Músico Cabanilles,Sant Marcel·lí ,Jesús,69.0,2,1,None,73.82,None,None
22,calle de Felipe Salvador,La Creu del Grau ,Camins al Grau,61.0,2,1,None,74.5,None,None
28,Carrer de l'Ancla,El Perellonet ,Pobles del Sud,54.0,2,1,None,112.0,None,None
0,calle de Berenguer de Montoliu,La Malva-rosa ,Poblats Marítims,75.0,3,1,None,84.0,None,None
14,calle del Padre Alegre,Benimaclet ,Benimaclet,60.0,1,1,None,79.0,None,None
20,calle de Mariano Cuber,Beteró ,Poblats Marítims,72.0,2,1,None,120.0,None,None
21,calle de Luis Fenollet,La Fontsanta ,L'Olivereta,92.0,3,1,None,89.5,None,None
27,Carrer d'en Joan Llorens,La Petxina ,Extramurs,75.0,4,1,None,99.0,None,None
1,calle de la Escotilla,El Perellonet ,Pobles del Sud,83.0,2,2,None,110.0,None,None
3,calle de Chiva,Arrancapins ,Extramurs,83.0,3,1,None,90.0,None,None
10,calle del Campamento,Benimàmet ,Pobles de l'Oest,109.0,4,1,None,81.0,None,None
12,calle de Santander,Favara ,Patraix,90.0,3,1,None,90.0,None,None
13,Carrer de Tucumán,Russafa ,L'Eixample,85.0,3,1,None,120.0,None,None
15,calle del Mondúber,Benicalap ,Benicalap,74.0,3,1,None,79.0,None,None
16,Carrer de Sant Joan Bosco,Sant Antoni ,La Saïdia,60.0,2,1,None,38.0,None,None
18,calle de Montán,El Cabanyal-El Canyamelar ,Poblats Marítims,65.0,3,1,None,105.0,None,None
22,calle del Reverendo José Noguera,Sant Marcel·lí ,Jesús,105.0,4,2,None,125.0,None,None
26,calle de La Puebla de Farnals,Aiora ,Camins al Grau,75.0,3,1,None,98.9,None,None
0,calle Oset,La Malva-rosa ,Poblats Marítims,73.0,2,1,None,78.0,None,None
1,Plaza Nou Moles,La Petxina ,Extramurs,84.0,3,1,None,72.0,None,None
3,calle de Costa y Borrás,L'Hort de Senabre ,Jesús,87.0,3,1,None,118.0,None,None
8,calle de Olimpia Arozena Torres,Nou Moles ,L'Olivereta,73.0,3,1,None,64.95,None,None
9,Carrer de Pedro Cabanes,Sant Antoni ,La Saïdia,76.0,3,1,None,119.5,None,None
16,calle del Grabador Jordán,Fonteta de Sant Lluís ,Quatre Carreres,90.0,2,1,None,105.0,None,None
25,calle del Maestro Asensi,Nou Moles ,L'Olivereta,75.0,3,1,None,84.0,None,None
26,calle de la Sierra Martés,Benicalap ,Benicalap,75.0,3,1,None,98.0,None,None
