index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price
11,Valencia,Favara ,Patraix,354.0,4,4,None,375.0
6,Valencia,Russafa ,L'Eixample,97.0,2,1,None,450.0
4,Valencia,Gran Via ,L'Eixample,116.0,3,3,None,490.0
3,Valencia,La Malva-rosa ,Poblats Marítims,170.0,2,2,None,250.0
2,Valencia,Sant Pau ,Campanar,120.0,2,2,None,412.0
0,Valencia,El Cabanyal-El Canyamelar ,Poblats Marítims,118.0,3,2,None,335.0
25,Campanar,Campanar ,Campanar,125.0,4,2,None,425.0
22,Valencia,El Pilar ,Ciutat Vella,119.0,2,1,None,235.0
21,Valencia,El Pilar ,Ciutat Vella,142.0,3,2,None,365.0
17,Valencia,Arrancapins ,Extramurs,105.0,3,2,None,250.0
16,Valencia,Gran Via ,L'Eixample,136.0,4,2,None,400.0
15,Valencia,El Pla del Remei ,L'Eixample,111.0,3,2,None,348.0
11,Valencia,Russafa ,L'Eixample,87.0,2,2,None,260.0
22,Valencia,La Xerea ,Ciutat Vella,232.0,4,2,None,430.0
19,Valencia,El Cabanyal-El Canyamelar ,Poblats Marítims,191.0,6,3,None,525.0
4,Valencia,Sant Pau ,Campanar,135.0,3,2,None,375.0
2,Valencia,La Xerea ,Ciutat Vella,62.0,1,1,None,215.0
24,Campanar,Campanar ,Campanar,122.0,3,2,None,330.0
10,Valencia,Sant Pau ,Campanar,96.0,2,2,None,270.0
1,Campanar,Campanar ,Campanar,110.0,4,2,None,220.0
0,Valencia,Penya-roja ,Camins al Grau,67.0,1,1,None,223.0
13,Valencia,Sant Pau ,Campanar,166.0,4,2,None,390.0
11,Campanar,Campanar ,Campanar,164.0,4,3,None,290.0
29,Valencia,Ciutat Jardí ,Algirós,188.0,4,3,None,330.0
26,Valencia,Gran Via ,L'Eixample,200.0,5,2,None,500.0
10,Valencia,Penya-roja ,Camins al Grau,138.0,3,2,None,350.0
7,Valencia,Arrancapins ,Extramurs,136.0,4,2,None,280.0
3,Campanar,Campanar ,Campanar,122.0,3,2,None,330.0
28,Valencia,Russafa ,L'Eixample,125.0,3,2,None,325.0
16,Benicalap,Benicalap ,Benicalap,91.0,2,2,None,224.89
9,Valencia,Russafa ,L'Eixample,189.0,5,2,None,395.0
8,Valencia,Campanar ,Campanar,128.0,4,2,None,427.0
26,Valencia,Tormos ,La Saïdia,145.0,3,2,None,255.0
15,Valencia,Sant Llorenç ,Rascanya,103.0,2,2,None,346.8
10,Campanar,Campanar ,Campanar,110.0,4,2,None,220.0
7,Valencia,Arrancapins ,Extramurs,241.0,3,3,None,516.104
