index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
0,Avinguda del CID,Soternes ,L'Olivereta,100.0,3,1,None,104.0,39.4685471,-0.3979341
2,Els Orriols,Orriols ,Rascanya,79.0,3,1,None,69.0,None,None
3,Carrer de Pedro Cabanes,Sant Antoni ,La Saïdia,68.0,3,1,None,63.5,None,None
4,calle de Escalante,El Cabanyal-El Canyamelar ,Poblats Marítims,42.0,1,1,None,100.0,None,None
6,Avenida de Gaspar Aguilar,La Raiosa ,Jesús,102.0,3,1,None,97.0,39.45652,-0.3901264
7,Carrer Illes Canàries,La Creu del Grau ,Camins al Grau,90.0,4,2,None,119.0,None,None
9,Carrer de les Alqueríes de Bellver,Benicalap ,Benicalap,83.0,3,1,None,81.0,39.4933228,-0.3961826
10,calle de Planas,En Corts ,Quatre Carreres,77.0,3,1,None,99.0,39.4570166,-0.3704539
11,calle de Jaime Beltrán,La Raiosa ,Jesús,88.0,1,1,None,129.9,39.4565435,-0.3884917
13,calle de Dolores Alcayde,La Raiosa ,Jesús,106.0,4,1,None,110.0,None,None
16,Els Orriols,Orriols ,Rascanya,97.0,3,1,None,132.0,None,None
17,calle calle D Orde del Cister,Soternes ,L'Olivereta,80.0,3,2,None,128.0,None,None
18,Marxalenes,Tormos ,La Saïdia,74.0,3,1,None,95.0,39.4879481,-0.3838063
19,calle del Músico Cabanilles,Sant Marcel·lí ,Jesús,69.0,2,1,None,73.82,None,None
22,calle de Felipe Salvador,La Creu del Grau ,Camins al Grau,61.0,2,1,None,74.5,None,None
24,Carrer del Pintor Matarana,Benicalap ,Benicalap,97.0,3,1,None,89.9,39.4944521,-0.3912185
28,Carrer de l'Ancla,El Perellonet ,Pobles del Sud,54.0,2,1,None,112.0,None,None
29,calle Peris Celda,Ciutat Fallera ,Benicalap,73.0,3,1,None,45.0,39.4983442,-0.3944335
0,calle de Berenguer de Montoliu,La Malva-rosa ,Poblats Marítims,75.0,3,1,None,84.0,None,None
1,Carrer de Pedro Cabanes,Torrefiel ,Rascanya,58.0,3,1,None,65.0,39.4953518,-0.3726184
4,Marchalenes,Tormos ,La Saïdia,70.0,3,1,None,67.0,39.4880691,-0.3844424
8,calle de Alabau,El Forn d'Alcedo ,Pobles del Sud,93.0,3,2,None,108.0,39.4329255,-0.3758457
14,calle del Padre Alegre,Benimaclet ,Benimaclet,60.0,1,1,None,79.0,None,None
15,Avenida Amado Granell Mesado 'Militar,La Punta ,Quatre Carreres,80.0,3,1,None,117.0,39.4597989,-0.3655051
16,calle calle San Juan de La Peña,Orriols ,Rascanya,82.0,2,1,None,75.0,39.4956023,-0.3691913
17,Avenida de la Constitución,Sant Llorenç ,Rascanya,90.0,4,1,None,88.0,39.4931431,-0.3732987
18,calle de Calarredes,Les Tendetes ,Campanar,65.0,3,1,None,85.0,39.4825033,-0.3845419
20,calle de Mariano Cuber,Beteró ,Poblats Marítims,72.0,2,1,None,120.0,None,None
21,calle de Luis Fenollet,La Fontsanta ,L'Olivereta,92.0,3,1,None,89.5,None,None
22,calle de Berenguer Mallol,Aiora ,Camins al Grau,70.0,3,1,None,90.0,39.4643222,-0.3421124
23,calle Carrer del Mestre Asensi,Nou Moles ,L'Olivereta,70.0,3,1,None,79.9,39.4714798,-0.3946911
24,calle de Loriguilla,Benicalap ,Benicalap,88.0,2,1,None,83.0,39.4900783,-0.3864221
26,Carrer de Sant Joan Bosco,Orriols ,Rascanya,49.0,2,1,None,55.0,39.4974577,-0.3692689
27,Carrer d'en Joan Llorens,La Petxina ,Extramurs,75.0,4,1,None,99.0,None,None
28,calle de Carcagente,La Raiosa ,Jesús,75.0,3,1,None,78.9,39.4601937,-0.3865076
0,Carrer de Peníscola,Orriols ,Rascanya,82.0,3,2,None,104.8,39.4908442,-0.3698192
1,calle de la Escotilla,El Perellonet ,Pobles del Sud,83.0,2,2,None,110.0,None,None
3,calle de Chiva,Arrancapins ,Extramurs,83.0,3,1,None,90.0,None,None
4,calle del Transformador,Benicalap ,Benicalap,75.0,3,1,None,87.0,39.4941524,-0.3933634
