index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price
0,Avinguda del CID,Soternes ,L'Olivereta,100.0,3,1,None,104.0
2,Els Orriols,Orriols ,Rascanya,79.0,3,1,None,69.0
3,Carrer de Pedro Cabanes,Sant Antoni ,La Saïdia,68.0,3,1,None,63.5
4,calle de Escalante,El Cabanyal-El Canyamelar ,Poblats Marítims,42.0,1,1,None,100.0
6,Avenida de Gaspar Aguilar,La Raiosa ,Jesús,102.0,3,1,None,97.0
7,Carrer Illes Canàries,La Creu del Grau ,Camins al Grau,90.0,4,2,None,119.0
9,Carrer de les Alqueríes de Bellver,Benicalap ,Benicalap,83.0,3,1,None,81.0
10,calle de Planas,En Corts ,Quatre Carreres,77.0,3,1,None,99.0
11,calle de Jaime Beltrán,La Raiosa ,Jesús,88.0,1,1,None,129.9
13,calle de Dolores Alcayde,La Raiosa ,Jesús,106.0,4,1,None,110.0
16,Els Orriols,Orriols ,Rascanya,97.0,3,1,None,132.0
17,calle calle D Orde del Cister,Soternes ,L'Olivereta,80.0,3,2,None,128.0
18,Marxalenes,Tormos ,La Saïdia,74.0,3,1,None,95.0
19,calle del Músico Cabanilles,Sant Marcel·lí ,Jesús,69.0,2,1,None,73.82
22,calle de Felipe Salvador,La Creu del Grau ,Camins al Grau,61.0,2,1,None,74.5
24,Carrer del Pintor Matarana,Benicalap ,Benicalap,97.0,3,1,None,89.9
28,Carrer de l'Ancla,El Perellonet ,Pobles del Sud,54.0,2,1,None,112.0
29,calle Peris Celda,Ciutat Fallera ,Benicalap,73.0,3,1,None,45.0
0,calle de Berenguer de Montoliu,La Malva-rosa ,Poblats Marítims,75.0,3,1,None,84.0
1,Carrer de Pedro Cabanes,Torrefiel ,Rascanya,58.0,3,1,None,65.0
4,Marchalenes,Tormos ,La Saïdia,70.0,3,1,None,67.0
8,calle de Alabau,El Forn d'Alcedo ,Pobles del Sud,93.0,3,2,None,108.0
14,calle del Padre Alegre,Benimaclet ,Benimaclet,60.0,1,1,None,79.0
15,Avenida Amado Granell Mesado 'Militar,La Punta ,Quatre Carreres,80.0,3,1,None,117.0
16,calle calle San Juan de La Peña,Orriols ,Rascanya,82.0,2,1,None,75.0
17,Avenida de la Constitución,Sant Llorenç ,Rascanya,90.0,4,1,None,88.0
18,calle de Calarredes,Les Tendetes ,Campanar,65.0,3,1,None,85.0
20,calle de Mariano Cuber,Beteró ,Poblats Marítims,72.0,2,1,None,120.0
21,calle de Luis Fenollet,La Fontsanta ,L'Olivereta,92.0,3,1,None,89.5
22,calle de Berenguer Mallol,Aiora ,Camins al Grau,70.0,3,1,None,90.0
23,calle Carrer del Mestre Asensi,Nou Moles ,L'Olivereta,70.0,3,1,None,79.9
24,calle de Loriguilla,Benicalap ,Benicalap,88.0,2,1,None,83.0
26,Carrer de Sant Joan Bosco,Orriols ,Rascanya,49.0,2,1,None,55.0
27,Carrer d'en Joan Llorens,La Petxina ,Extramurs,75.0,4,1,None,99.0
28,calle de Carcagente,La Raiosa ,Jesús,75.0,3,1,None,78.9
0,Carrer de Peníscola,Orriols ,Rascanya,82.0,3,2,None,104.8
1,calle de la Escotilla,El Perellonet ,Pobles del Sud,83.0,2,2,None,110.0
3,calle de Chiva,Arrancapins ,Extramurs,83.0,3,1,None,90.0
4,calle del Transformador,Benicalap ,Benicalap,75.0,3,1,None,87.0
6,Malilla,La Punta ,Quatre Carreres,85.0,3,1,None,120.0
7,Avenida Dausiàs March,Na Rovella ,Quatre Carreres,94.0,4,1,None,105.0
8,calle de la Reina,El Cabanyal-El Canyamelar ,Poblats Marítims,87.0,4,1,None,130.0
9,Carrer de les Alqueríes de Bellver,Benicalap ,Benicalap,89.0,3,1,None,99.9
10,calle del Campamento,Benimàmet ,Pobles de l'Oest,109.0,4,1,None,81.0
12,calle de Santander,Favara ,Patraix,90.0,3,1,None,90.0
13,Carrer de Tucumán,Russafa ,L'Eixample,85.0,3,1,None,120.0
15,calle del Mondúber,Benicalap ,Benicalap,74.0,3,1,None,79.0
16,Carrer de Sant Joan Bosco,Sant Antoni ,La Saïdia,60.0,2,1,None,38.0
17,Avenida de las Gaviotas,El Perellonet ,Pobles del Sud,104.0,3,2,None,120.0
18,calle de Montán,El Cabanyal-El Canyamelar ,Poblats Marítims,65.0,3,1,None,105.0
19,Carrer de Jerónima Galés 'Impressora,L'Hort de Senabre ,Jesús,75.0,3,1,None,79.99
20,calle de Goya,Nou Moles ,L'Olivereta,64.0,1,1,Obra nueva,102.415
21,Carrer de l'Arquitecte Rodríguez,Orriols ,Rascanya,80.0,3,1,None,55.0
22,calle del Reverendo José Noguera,Sant Marcel·lí ,Jesús,105.0,4,2,None,125.0
24,Carrer de Higinio Noja 'Professor,La Creu del Grau ,Camins al Grau,85.0,3,1,None,90.0
25,calle de Jaime Beltrán,La Raiosa ,Jesús,63.0,3,1,None,57.663
26,calle de La Puebla de Farnals,Aiora ,Camins al Grau,75.0,3,1,None,98.9
28,Carrer de la Senyera,Montolivet ,Quatre Carreres,83.0,3,1,None,115.0
29,Avenida de Ausiàs March,Malilla ,Quatre Carreres,90.0,2,1,None,90.0
0,calle Oset,La Malva-rosa ,Poblats Marítims,73.0,2,1,None,78.0
