address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,latitude,longitude,price
Avinguda del CID,Soternes ,L'Olivereta,100.0,3,1,None,39.4685471,-0.3979341,104000.0
Avenida de Gaspar Aguilar,La Raiosa ,Jesús,102.0,3,1,None,39.456520000000005,-0.39012640000000004,97000.0
Carrer de les Alqueríes de Bellver,Benicalap ,Benicalap,83.0,3,1,None,39.493322799999994,-0.39618259999999994,81000.0
calle de Planas,En Corts ,Quatre Carreres,77.0,3,1,None,39.4570166,-0.3704539,99000.0
calle de Jaime Beltrán,La Raiosa ,Jesús,88.0,1,1,None,39.4565435,-0.3884917,129900.0
Marxalenes,Tormos ,La Saïdia,74.0,3,1,None,39.487948100000004,-0.3838063,95000.0
Carrer del Pintor Matarana,Benicalap ,Benicalap,97.0,3,1,None,39.494452100000004,-0.39121849999999997,89900.0
calle Peris Celda,Ciutat Fallera ,Benicalap,73.0,3,1,None,39.498344200000005,-0.3944335,45000.0
Carrer de Pedro Cabanes,Torrefiel ,Rascanya,58.0,3,1,None,39.4953518,-0.3726184,65000.0
Marchalenes,Tormos ,La Saïdia,70.0,3,1,None,39.4880691,-0.3844424,67000.0
calle de Alabau,El Forn d'Alcedo ,Pobles del Sud,93.0,3,2,None,39.4329255,-0.37584570000000006,108000.0
Avenida Amado Granell Mesado 'Militar,La Punta ,Quatre Carreres,80.0,3,1,None,39.4597989,-0.36550509999999997,117000.0
calle calle San Juan de La Peña,Orriols ,Rascanya,82.0,2,1,None,39.4956023,-0.3691913,75000.0
Avenida de la Constitución,Sant Llorenç ,Rascanya,90.0,4,1,None,39.493143100000005,-0.3732987,88000.0
calle de Calarredes,Les Tendetes ,Campanar,65.0,3,1,None,39.4825033,-0.38454190000000005,85000.0
calle de Berenguer Mallol,Aiora ,Camins al Grau,70.0,3,1,None,39.4643222,-0.34211240000000004,90000.0
calle Carrer del Mestre Asensi,Nou Moles ,L'Olivereta,70.0,3,1,None,39.4714798,-0.39469109999999996,79900.0
calle de Loriguilla,Benicalap ,Benicalap,88.0,2,1,None,39.4900783,-0.38642209999999994,83000.0
Carrer de Sant Joan Bosco,Orriols ,Rascanya,49.0,2,1,None,39.497457700000005,-0.3692689,55000.0
calle de Carcagente,La Raiosa ,Jesús,75.0,3,1,None,39.460193700000005,-0.38650759999999995,78900.0
Carrer de Peníscola,Orriols ,Rascanya,82.0,3,2,None,39.490844200000005,-0.3698192,104800.0
calle del Transformador,Benicalap ,Benicalap,75.0,3,1,None,39.4941524,-0.3933634,87000.0
Malilla,La Punta ,Quatre Carreres,85.0,3,1,None,39.4491066,-0.3755987,120000.0
Avenida Dausiàs March,Na Rovella ,Quatre Carreres,94.0,4,1,None,39.4508166,-0.3717962,105000.0
calle de la Reina,El Cabanyal-El Canyamelar ,Poblats Marítims,87.0,4,1,None,39.473222799999995,-0.32800100000000004,130000.0
Carrer de les Alqueríes de Bellver,Benicalap ,Benicalap,89.0,3,1,None,39.493322799999994,-0.39618259999999994,99900.0
Avenida de las Gaviotas,El Perellonet ,Pobles del Sud,104.0,3,2,None,39.2940611,-0.28714470000000003,120000.0
Carrer de Jerónima Galés 'Impressora,L'Hort de Senabre ,Jesús,75.0,3,1,None,39.453683000000005,-0.3901369,79990.0
calle de Goya,Nou Moles ,L'Olivereta,64.0,1,1,Obra nueva,39.473806599999996,-0.39828600000000003,102415.0
Carrer de l'Arquitecte Rodríguez,Orriols ,Rascanya,80.0,3,1,None,39.493701200000004,-0.3693706,55000.0
Carrer de Higinio Noja 'Professor,La Creu del Grau ,Camins al Grau,85.0,3,1,None,39.4610612,-0.346583,90000.0
calle de Jaime Beltrán,La Raiosa ,Jesús,63.0,3,1,None,39.4565435,-0.3884917,57663.0
Carrer de la Senyera,Montolivet ,Quatre Carreres,83.0,3,1,None,39.4572003,-0.3623908,115000.0
Avenida de Ausiàs March,Malilla ,Quatre Carreres,90.0,2,1,None,39.4434875,-0.3693949,90000.0
calle Jose Grollo,Ciutat Fallera ,Benicalap,52.0,3,1,None,39.489005299999995,-0.3880194,48000.0
Avinguda de Pérez Galdós,Arrancapins ,Extramurs,95.0,3,1,None,39.468856200000005,-0.391392,120000.0
calle de Conchita Piquer,Campanar ,Campanar,65.0,2,1,None,39.4864508,-0.39125679999999996,75000.0
calle del Brasil,Nou Moles ,L'Olivereta,95.0,4,2,None,39.472763,-0.4013665,95000.0
calle Fontanares,Patraix ,Patraix,90.0,3,1,None,39.460221399999995,-0.3942363,110000.0
calle del Brasil,Nou Moles ,L'Olivereta,85.0,3,1,None,39.472763,-0.4013665,72000.0
Avenida de Ausiàs March,En Corts ,Quatre Carreres,82.0,4,1,None,39.4434875,-0.3693949,109000.0
calle de Francisco Falcons,Natzaret ,Poblats Marítims,80.0,2,1,None,39.446329399999996,-0.33460409999999996,95000.0
Avenida de San José Artesano,Ciutat Fallera ,Benicalap,75.0,3,1,None,39.4972616,-0.39452309999999996,65000.0
calle de María Jordán,Patraix ,Patraix,114.0,4,2,None,39.46163320000001,-0.3920555,130000.0
calle de Santo Domingo Savio,Torrefiel ,Rascanya,74.0,2,1,None,39.49780429999999,-0.3761271,98000.0
Pobles del Sud ,El Perellonet ,Pobles del Sud,70.0,2,1,None,39.4282661,-0.3581993,120000.0
Carrer del Mestre Marçal,Torrefiel ,Rascanya,70.0,2,1,None,39.4934885,-0.37607640000000003,48000.0
calle de Joaquín Navarro,L'Hort de Senabre ,Jesús,81.0,3,1,None,39.4530162,-0.38808909999999996,89900.0
calle de Menorca,La Creu del Grau ,Camins al Grau,68.0,2,1,None,39.4612806,-0.33953790000000006,87000.0
calle Carrer del Llavador,El Cabanyal-El Canyamelar ,Poblats Marítims,83.0,4,1,None,39.470060600000004,-0.33276740000000005,99000.0
Avinguda de Peris y Valero,Russafa ,L'Eixample,72.0,2,1,None,39.459695200000006,-0.369315,127000.0
calle de Fray Pedro Ponce de Léon,Montolivet ,Quatre Carreres,80.0,3,1,None,39.4583211,-0.361902,120000.0
Pobles de L'oest ,Benimàmet ,Pobles de l'Oest,115.0,3,2,None,39.4992054,-0.4142085999999999,120000.0
Carteros,L'Hort de Senabre ,Jesús,75.0,3,1,None,39.4512636,-0.3889267,82000.0
Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,65.0,3,1,None,39.4701544,-0.3323547,79000.0
Carrer del Riu Bidasoa,Torrefiel ,Rascanya,90.0,3,1,None,39.497628000000006,-0.3797864,119000.0
calle de Zapadores,Montolivet ,Quatre Carreres,73.0,3,1,None,39.4585173,-0.3686143,130000.0
calle Jose Grollo,Benicalap ,Benicalap,65.0,3,1,None,39.489005299999995,-0.3880194,69900.0
Carrer de Betxí,Ciutat Fallera ,Benicalap,89.0,3,1,None,39.49511270000001,-0.39524190000000003,79900.0
Avenida de La Ronda de Natzaret,Natzaret ,Poblats Marítims,59.0,2,1,None,39.4525445,-0.3342814,120000.0
Avenida Amado Granell Mesado 'Militar,Montolivet ,Quatre Carreres,80.0,3,1,None,39.4597989,-0.36550509999999997,115000.0
Carrer de la Florista,Benicalap ,Benicalap,70.0,2,1,None,39.490300399999995,-0.39161399999999996,81900.0
calle Peris Celda,Ciutat Fallera ,Benicalap,75.0,3,1,None,39.498344200000005,-0.3944335,49900.0
calle de Pedro de Luna,La Torre ,Pobles del Sud,68.0,3,1,None,39.4335037,-0.39048740000000004,36000.0
Carrer del Periodista Gil Sumbiela,Benicalap ,Benicalap,80.0,3,1,None,39.4934831,-0.3898259,77000.0
calle de Daroca,Orriols ,Rascanya,60.0,2,1,None,39.496042700000004,-0.36878829999999996,60000.0
Carrer de Higinio Noja 'Professor,La Creu del Grau ,Camins al Grau,70.0,3,1,None,39.4610612,-0.346583,109900.0
calle de Vicente Brull,El Grau ,Poblats Marítims,63.0,2,1,None,39.465805700000004,-0.33255419999999997,96000.0
Carrer de Josep Esteve,Torrefiel ,Rascanya,86.0,3,1,None,39.4959088,-0.3748871,95000.0
calle de Daroca,Orriols ,Rascanya,62.0,2,1,None,39.496042700000004,-0.36878829999999996,63000.0
calle de Montesa,Favara ,Patraix,78.0,3,1,None,39.4552854,-0.3938988,99000.0
calle de José Zaragoza,Favara ,Patraix,73.0,3,1,None,39.455171,-0.39235990000000004,69500.0
calle Peris Celda,Ciutat Fallera ,Benicalap,97.0,3,1,None,39.498344200000005,-0.3944335,103000.0
Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,100.0,3,1,None,39.4701544,-0.3323547,115000.0
Avinguda del General Avilés,Benicalap ,Benicalap,88.0,3,1,None,39.487663,-0.3921058,102000.0
calle de Molina de Segura,Tres Forques ,L'Olivereta,82.0,3,1,None,39.4680263,-0.40251479999999995,76500.0
Avinguda del Doctor Ruiz y Comes,El Saler ,Pobles del Sud,105.0,3,1,None,39.4238323,-0.3621953,100000.0
calle de Palma de Gandía,Benifaraig ,Pobles del Nord,94.0,3,2,None,39.5284524,-0.384261,98000.0
calle de Planas,En Corts ,Quatre Carreres,66.0,1,1,None,39.4570166,-0.3704539,87000.0
calle Dr Lluch,El Cabanyal-El Canyamelar ,Poblats Marítims,63.0,1,1,None,39.4684375,-0.328127,126000.0
calle Francisco Baldoma,El Cabanyal-El Canyamelar ,Poblats Marítims,63.0,3,1,None,39.4639745,-0.33360209999999996,95000.0
calle de Velázquez,Nou Moles ,L'Olivereta,123.0,4,2,None,39.4736495,-0.4017813,124000.0
calle del Maestro Alberto Luz,Benimàmet ,Pobles de l'Oest,90.0,5,2,None,39.5028282,-0.41836190000000006,75000.0
calle Pedro Patricio Mey,Torrefiel ,Rascanya,85.0,2,1,None,39.4924092,-0.37782009999999994,99000.0
En Corts,La Punta ,Quatre Carreres,110.0,3,1,None,39.4569071,-0.3684821,109000.0
Avinguda de Joan XXIII,Benicalap ,Benicalap,81.0,3,1,None,39.4903222,-0.3822995,130000.0
Carrer de Jerónima Galés 'Impressora,L'Hort de Senabre ,Jesús,77.0,4,1,None,39.453683000000005,-0.3901369,99900.0
Carrer de Sant Joan Bosco,Orriols ,Rascanya,65.0,2,1,None,39.497457700000005,-0.3692689,37500.0
calle de Menorca,La Creu del Grau ,Camins al Grau,68.0,2,1,None,39.4612806,-0.33953790000000006,87000.0
calle de Sollana,Na Rovella ,Quatre Carreres,90.0,3,1,None,39.452137,-0.3694073,92000.0
calle de Conchita Piquer,El Calvari ,Campanar,60.0,2,1,None,39.4864508,-0.39125679999999996,85000.0
calle de la Reina,El Cabanyal-El Canyamelar ,Poblats Marítims,40.0,1,1,None,39.473222799999995,-0.32800100000000004,95000.0
calle de Giménez y Costa,La Torre ,Pobles del Sud,103.0,2,2,None,39.433681299999996,-0.3892866,110500.0
Carrer del Periodista Gil Sumbiela,Benicalap ,Benicalap,102.0,3,1,None,39.4934831,-0.3898259,125000.0
calle del Conseller Francisco Bosch,La Fontsanta ,L'Olivereta,70.0,2,1,None,39.465428700000004,-0.40696259999999995,58900.0
Avinguda de Burjasot,Marxalenes ,La Saïdia,73.0,3,1,None,39.4885349,-0.3894175,117000.0
calle de María de Molina,L'Hort de Senabre ,Jesús,87.0,3,1,None,39.452461299999996,-0.38992140000000003,95900.0
Avinguda de Tres Forques,Tres Forques ,L'Olivereta,88.0,4,1,None,39.4637178,-0.4053235,95000.0
Sant Marcel·Lí,Sant Marcel·lí ,Jesús,95.0,3,2,None,39.445536499999996,-0.3904804,130000.0
calle de la Democracia,Nou Moles ,L'Olivereta,109.0,3,1,None,39.4726907,-0.4073637,98000.0
Extramurs ,La Petxina ,Extramurs,61.0,3,1,None,39.4708608,-0.38817229999999997,115000.0
calle de la Barraca,El Cabanyal-El Canyamelar ,Poblats Marítims,110.0,3,1,None,39.468944799999996,-0.32915229999999995,130000.0
calle de La Gomera,La Malva-rosa ,Poblats Marítims,80.0,3,1,None,39.481671399999996,-0.3292854,115000.0
Jesús,Favara ,Patraix,92.0,3,1,None,39.4614675,-0.3874816,79000.0
calle de Giménez y Costa,La Torre ,Pobles del Sud,123.0,3,2,None,39.433681299999996,-0.3892866,124500.0
calle de Menorca,La Creu del Grau ,Camins al Grau,68.0,2,1,None,39.4612806,-0.33953790000000006,90000.0
Carrer de San Vicente Mártir,Sant Francesc ,Ciutat Vella,109.0,3,1,None,39.46982,-0.3786303,115000.0
calle de Vicente Brull,El Grau ,Poblats Marítims,61.0,2,1,None,39.465805700000004,-0.33255419999999997,90000.0
Carrer de la República Argentina,L'Amistat ,Algirós,65.0,3,2,None,39.4722334,-0.35182129999999995,105000.0
Gran Vía,València Capital,None,70.0,1,2,None,38.3673347,-0.4124449205494879,120000.0
calle de Felipe Rinaldi,Torrefiel ,Rascanya,85.0,3,1,None,39.4932771,-0.3769981,65000.0
calle del Castillo de Cullera,Faitanar ,Pobles del Sud,86.0,4,1,None,39.435429600000006,-0.3925185,56600.0
Pasaje de Suay,Torrefiel ,Rascanya,61.0,3,1,None,39.4905351,-0.3817357,49900.0
Carrer del General Llorens,Benicalap ,Benicalap,58.0,2,1,None,39.4915936,-0.3859366,69000.0
calle de Carrícola,L'Hort de Senabre ,Jesús,65.0,2,1,None,39.4518126,-0.3871348,65000.0
* A,Tres Forques ,L'Olivereta,90.0,3,1,None,39.46945945,-0.4044989887205296,88000.0
calle de Santander,L'Hort de Senabre ,Jesús,67.0,2,1,None,39.454142700000006,-0.3889606,118000.0
calle del Duque de Gaeta,Aiora ,Camins al Grau,65.0,2,1,None,39.467654100000004,-0.3491982,85500.0
Carrer de Jerónima Galés 'Impressora,L'Hort de Senabre ,Jesús,80.0,3,1,None,39.453683000000005,-0.3901369,110000.0
Avinguda de Burjasot,Les Tendetes ,Campanar,68.0,3,1,None,39.4885349,-0.3894175,67000.0
calle de Velázquez,Nou Moles ,L'Olivereta,123.0,4,2,None,39.4736495,-0.4017813,130000.0
calle de la Dama de Elche,Aiora ,Camins al Grau,98.0,3,1,None,39.4622729,-0.34305640000000004,119000.0
calle Parque de Nazaret,Natzaret ,Poblats Marítims,66.0,3,1,None,39.450216600000005,-0.33261640000000003,65000.0
calle de Zapadores,Montolivet ,Quatre Carreres,80.0,3,1,None,39.4585173,-0.3686143,125000.0
Carrer del Poeta Maragall,La Raiosa ,Jesús,72.0,1,1,None,39.4564917,-0.38913020000000004,84900.0
calle de Daroca,Orriols ,Rascanya,59.0,2,1,None,39.496042700000004,-0.36878829999999996,63000.0
Torrefiel,Orriols ,Rascanya,91.0,2,1,None,39.4946478,-0.376130279007177,95000.0
calle San Juan de La Peña,Orriols ,Rascanya,76.0,3,1,None,39.4956023,-0.3691913,40000.0
calle de Pego,Benimàmet ,Pobles de l'Oest,112.0,3,2,None,39.5021641,-0.41823019999999994,127900.0
Quatre Carreres ,Na Rovella ,Quatre Carreres,85.0,2,1,None,39.4468789,-0.36937929999999997,115000.0
calle San Juan de La Peña,Orriols ,Rascanya,80.0,3,1,None,39.4956023,-0.3691913,67000.0
Carrer de Sant Joan Bosco,Orriols ,Rascanya,85.0,3,1,None,39.497457700000005,-0.3692689,59900.0
Quatre Carreres ,Montolivet ,Quatre Carreres,62.0,2,1,None,39.4468789,-0.36937929999999997,72000.0
calle del Pintor Stolz,Nou Moles ,L'Olivereta,86.0,3,1,None,39.469999,-0.4025462,99999.0
